name,platform,year_of_release,genre,rating
WRC: FIA World Rally Championship,PC,2005,Racing,RP
Sakura Sakura: Haru Urara,PSP,2010,Adventure,
Uta no * Prince-Sama: Sweet Serenade,PSP,2011,Adventure,
The Legend of Heroes: Trails in the Sky Third Chapter,PS3,2013,Role-Playing,
Road Trip: Shifting Gears,GBA,2002,Racing,E
"Iza, Shutsujin! Koisen",PSP,2011,Adventure,
Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008,Sports,
Hiiro no Kakera: Shin Tamayori Hime Denshou,PS2,2009,Adventure,
Datenshi no Amai Yuuwaku x Kaikan Phrase,DS,2010,Adventure,
Football Academy,DS,2009,Sports,
LifeSigns: Surgical Unit,DS,2005,Simulation,T
Grooverider: Slot Car Thunder,X,2003,Racing,E
Digger Simulator,PC,2011,Simulation,
Super PickUps,Wii,2009,Racing,E
Bakumatsu Koihana: Shinsengumi DS,DS,2008,Adventure,
Dynamic Chord feat. Reve Parfait: V Edition,PSV,2016,Adventure,
Miyako: Awayuki no Utage,PSP,2012,Action,
Impossible Creatures,PC,2002,Strategy,T
Football Manager Live,PC,2009,Sports,
Konami Classics Vol. 2,X360,2009,Misc,E10+
Kamigami no Asobi InFinite,PSV,2016,Adventure,
Aeon Flux,X,2005,Action,T
Tobidase! Kagaku-kun Chikyuu Daitanken! Nazo no Chinkai Seibutsu ni Idome!,DS,2011,Misc,
Kana: Imouto,PSP,2010,Adventure,
Blitzkrieg 2 Anthology,PC,2008,Strategy,
SBK09 Superbike World Championship,PS3,2009,Racing,
Rock N Roll Racing,SNES,1993,Racing,
Serious Sam II,PC,2005,Shooter,M
Games Around the World,DS,2010,Misc,E10+
Nodame Cantabile,PS2,2007,Misc,
Code: Realize - Shukufuku no Mirai,PSV,2016,Adventure,
DoDonPachi Saidaioujou,X360,2013,Shooter,
Last Escort: Club Katze,PS2,2010,Adventure,
1/2 Summer +,PSP,2013,Adventure,
Winning Post 7 Maximum 2008,PS3,2008,Sports,
Fast Racing Neo ,WiiU,2016,Action,E
NHL 16,PS3,2015,Sports,
Ride 2,XOne,2016,Racing,E
Tears to Tiara: Kakan no Daichi Portable,PSP,2010,Adventure,
Hyakka Yakou,PSV,2015,Action,
PuraMai Wars V,PSV,2016,Action,
UEFA Champions League 2006-2007,PSP,2007,Sports,E
Ninja Gaiden Sigma 2,PSV,2013,Action,
Monster Rancher Advance 2,GBA,2002,Simulation,E
Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu,DS,2009,Adventure,
Hanayamata: Yosakoi Live,PSV,2014,Adventure,
Dr. Slump & Arale-Chan,DS,2008,Adventure,
Umineko no Naku Koro ni Portable 1,PSP,2011,Adventure,
Madden NFL 13,PS3,2012,Sports,E
Geten no Hana: Yume Akari,PSP,2014,Misc,
Festa!! Hyper Girls Party,PS2,2006,Adventure,
Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008,Misc,
Game Book DS: Sword World 2.0,DS,2009,Role-Playing,
Vanark,PS,1999,Shooter,
WTA Tour Tennis,X,2002,Sports,E
Theatre Of War,PC,2007,Strategy,T
IL-2 Sturmovik,PC,2001,Simulation,T
Dragon Quest X: All in One Package,WiiU,2015,Role-Playing,
Furious Karting,X,2003,Racing,T
Yuukyuu no Tierblade: Lost Chronicle,PSV,2016,Adventure,
Earths Dawn,PS4,2016,Action,T
Pet Shop Monogatari DS 2,DS,2010,Simulation,
Chokkan! Asonde Relaxuma,DS,2008,Action,
Monkey Madness: Island Escape,DS,2010,Action,E10+
Hot Wheels: Stunt Track Challenge / World Race,GBA,2006,Racing,
Nitroplus Blasterz: Heroines Infinite Duel,PS3,2015,Fighting,T
Minna no Conveni,DS,2010,Simulation,
Accel World: Kasoku no Chouten,PSP,2013,Adventure,
Virtua Tennis 3,PC,2007,Sports,E
Farming 2017 - The Simulation,PC,2016,Simulation,
RPG Maker: Fes,3DS,2016,Role-Playing,
SoulCalibur Legends (JP sales),Wii,2007,Action,
Izumo 2,PS2,2006,Adventure,
Entaku no Seito: Students of Round,X360,2011,Role-Playing,
Bratz: Forever Diamondz,PS2,2006,Adventure,E
Smiley World: Island Challenge,DS,2009,Puzzle,E
PC Engine Best Collention: Ginga Ojousama Densetsu Collection,PSP,2008,Adventure,
Isshoni Gohan. Portable,PSP,2013,Adventure,
King of Fighters 2002: Unlimited Match Tougeki Ver.,PS2,2010,Fighting,
Malice,X,2004,Platform,T
htoL#NiQ: The Firefly Diary,PSV,2014,Platform,T
Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,2008,Adventure,
Ouka Sengoku Portable,PSP,2012,Adventure,
Wallace & Gromit: Curse of the Were-Rabbit,X,2005,Adventure,
Shepherds Crossing,PSP,2009,Simulation,E
Dark Parables: The Exiled Prince,PC,2011,Puzzle,E10+
Doki-Doki Universe,PSV,2013,Adventure,E10+
Tactics Layer: Ritina Guard Senki,DS,2009,Strategy,
Brain Exercise With Dr. Kawashima,PC,2009,Puzzle,
San-X Character Channel: All-Star Daishuugou!,DS,2008,Action,
Fuun Shinsengumi Bakumatsuden Portable,PSP,2009,Action,
Sega Golf Club: Miyazato San Kyoudai Naizou,PS3,2006,Sports,
Rozen Maiden: Gebetgarten,PS2,2007,Fighting,
Barbie and Her Sisters Puppy Rescue,WiiU,2015,Action,E
Homeworld Remastered Collection,PC,2015,Strategy,E10+
Princess Arthur,PSP,2013,Misc,
Sakura-Sou no Pet na Kanojo,PSP,2013,Adventure,
Fatal Fury: Battle Archives Volume 2 (JP sales),PS2,2007,Fighting,
Toro to Morimori,PS3,2009,Misc,
Tantei Jinguuji Saburo: Hai to Diamond,PSP,2009,Adventure,
Satisfashion,Wii,2010,Misc,E
Metal Slug Anthology,PS2,2007,Shooter,T
Shorts,DS,2009,Platform,E10+
Football Manager 2005,PC,2004,Sports,
K-1 Grand Prix,PS,1999,Fighting,
Rave Master: Special Attack Force!,GBA,2002,Fighting,T
Adventure Time: The Secret of the Nameless ,X360,2014,Adventure,
Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono,PS2,2007,Strategy,
Saints Row: Gat out of Hell,XOne,2015,Action,M
BattleForge,PC,2009,Strategy,T
Casper,GBA,2002,Adventure,
AKB1/48: Idol to Guam de Koishitara...,X360,2011,Misc,
Hakuoki: Reimeiroku DS,DS,2012,Action,
Ro-Kyu-Bu! Secret Photo Op,PSV,2014,Adventure,
Turbo Trainz,Wii,2012,Racing,E
Caladrius,X360,2013,Shooter,T
Duel Love: Koisuru Otome wa Shouri no Megami,DS,2008,Adventure,
Super Robot Monkey Team: Game Boy Advance Video Volume 1,GBA,2005,Misc,
MXGP 2,PC,2016,Racing,
Freekstyle,GBA,2003,Racing,E
Groovin Blocks,Wii,2009,Puzzle,E
Aa Megami-samaa,PS2,2007,Adventure,
Bunmei Kaika: Aoiza Ibunroku Saien,PSP,2012,Action,
Mystery Legends: Beauty and the Beast,PC,2012,Puzzle,E10+
Tomoyo After: Its a Wonderful Life CS Edition,PS2,2007,Adventure,
Rail Simulator,PC,2007,Simulation,E
Yunohana Spring! Cherishing Time,PSV,2016,Adventure,
Banjo-Kazooie,X360,2008,Platform,E
BlazBlue: Calamity Trigger,PC,2010,Fighting,T
Geten no Hana with Yume Akari: Aizouban,PSV,2016,Adventure,
Bakumatsu Rock,PSP,2014,Action,
Spider-Man: Friend or Foe,PC,2007,Action,E10+
Far East of Eden II: Manji Maru,DS,2006,Role-Playing,
Family Jockey,Wii,2008,Sports,
Thunder Alley,GBA,2004,Racing,E
Resistance Dual Pack,PS3,2011,Shooter,M
Hoshiori Yume Mirai: Converted Edition,PSV,2016,Adventure,
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,2013,Adventure,
PDC World Championship Darts 2009,Wii,2009,Sports,
Harry Potter and the Chamber of Secrets,PC,2002,Action,E
Victory Spike,PS,1996,Sports,
Sengoku Basara 2 Heroes,Wii,2007,Action,
Jewel Quest II,PC,2007,Puzzle,E
Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,PS2,2007,Adventure,
Farming Simulator 15 Expansion Pack,PC,2015,Action,
Double Sequence: The Q-Virus Invasion,DS,2008,Puzzle,E
Kurogane Kaikitan,PSV,2015,Adventure,
Marvel: Ultimate Alliance,PC,2006,Role-Playing,T
Brothers in Arms: Furious 4,X360,2012,Shooter,M
Order Up!!,3DS,2011,Action,
Hi Hi Puffy AmiYumi: The Genie & the Amp,DS,2006,Action,
Densetsu no Yuusha no Densetsu: Legendary Saga,PSP,2010,Role-Playing,
Chaos;Child,PS4,2015,Adventure,
Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,PS2,2008,Adventure,
WRC 6,PC,2016,Racing,
Battle Worlds: Kronos,PC,2016,Strategy,
Hiiro no Kakera: Shin Tamayori Hime Denshou Portable,PSP,2010,Adventure,
Curse of the Amsterdam Diamond,DS,2012,Puzzle,
Kao the Kangaroo,GBA,2001,Platform,E
Seisou no Amazones,3DS,2013,Role-Playing,
Builders Block,PS,1999,Strategy,
Durarara!! Relay,PSV,2015,Action,
Mahjong Taikai IV,PS3,2006,Misc,
F.E.A.R. Perseus Mandate,PC,2007,Shooter,M
Chaos;Head Noah,PSV,2014,Adventure,
Ultraman Fighting Evolution 0,PSP,2006,Fighting,
Gokuhou!! Mecha Mote Iinchou: Girls Motekawa Box,DS,2009,Simulation,
Agarest Senki: Re-appearance,PS3,2008,Role-Playing,
Deus Ex,PC,2000,Role-Playing,M
Aquaman: Battle for Atlantis,GC,2003,Action,T
Captain Morgane and the Golden Turtle,Wii,2012,Adventure,
Strider (2014),PS3,2014,Platform,
Jinsei Game Q DS: Shouwa no Dekigoto,DS,2007,Misc,
Doraemon Wii: Himitsu Douguou Ketteisen!,Wii,2007,Misc,
Goku Makaimura Kai,PSP,2007,Platform,
No Fate! Only the Power of Will,X360,2010,Adventure,
Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita,PS3,2009,Role-Playing,
My Little Baby,DS,2008,Simulation,E
Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,E
Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,2008,Action,
Goat Simulator,XOne,2016,Simulation,T
Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,PS2,2008,Misc,
Mamoru-kun wa Norowarete Shimatta!,X360,2009,Shooter,
Art Academy: Home Studio,WiiU,2015,Misc,E
"Hanayaka Kana, Ware ga Ichizoku",PSP,2010,Adventure,
Myself; Yourself,PS2,2007,Adventure,
Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku,PSP,2010,Strategy,
PDC World Championship Darts 2008,PSP,2008,Sports,E10+
Tiger Woods PGA Tour 2005,PC,2004,Sports,E
Dokuro,PSV,2012,Action,E10+
Starry ? Sky: After Autumn,PSP,2011,Misc,
Slide Adventure: Mag Kid,DS,2007,Action,
Smugglers Run,GBA,2002,Racing,E
Eve: Burst Error R,PSV,2016,Action,
Jan Sangoku Musou,PS2,2006,Misc,
Chaos;Child,PS3,2015,Adventure,
Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,PS2,2007,Adventure,
Binary Star,PSV,2014,Adventure,
Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,PS2,2009,Misc,
PriministAr,PSV,2016,Adventure,
Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,2006,Fighting,
CT Special Forces 2: Back in the Trenches,GBA,2003,Shooter,T
Kamaitachi no Yoru 2: Tokubetsu Hen,PSP,2006,Adventure,
Root Double: Before Crime After Days,X360,2012,Action,
ef - a fairy tale of the two.,PS2,2010,Adventure,
Minds and Mystery: 5 Game Pack,PC,2014,Action,
Akai Suna Ochiru Tsuki,PSV,2016,Adventure,
Sonic & All-Stars Racing Transformed,PC,2013,Racing,
FairlyLife: MiracleDays,PSP,2010,Adventure,
Death Connection Portable,PSP,2011,Adventure,
Surfs Up,GC,2007,Sports,E10+
TimeShift,PC,2007,Shooter,M
Rainbow Islands: Revolution,PSP,2005,Action,
Rakushou! Pachi-Slot Sengen 4,PS2,2006,Misc,
Championship Manager 2010,PC,2009,Sports,
Moe Moe 2-Ji Daisenryaku 2,PSP,2010,Strategy,
The Chronicles of Riddick: Assault on Dark Athena,PC,2009,Shooter,M
Tsuyo Kiss 3 Portable,PSP,2012,Action,
Moto Racer Advance,GBA,2002,Racing,E
Duel Masters: Shadow of the Code,GBA,2004,Misc,E
Cities: Skylines Snowfall,PC,2016,Simulation,
Freaky Flyers,GC,2003,Racing,T
Neo Atlas 1469,PSV,2016,Misc,
Army Men: Air Combat - The Elite Missions,GC,2003,Shooter,
Happy Dance Collection,Wii,2008,Misc,
Rally Championship,GC,2003,Racing,E
Legend of Kay Anniversary,WiiU,2015,Action,E10+
Conflict: Denied Ops,PC,2008,Shooter,M
Musou Tourou,PSP,2009,Strategy,
Really? Really! DS,DS,2009,Adventure,
Gakuen Hetalia,DS,2012,Adventure,
Daiya no Kuni no Alice: Wonderful Mirror World,PSP,2013,Adventure,
FlatOut: Ultimate Carnage,PC,2008,Racing,T
Battlestations: Midway,PC,2007,Strategy,T
Touch Detective 3: Does Funghi Dream of Bananas?,3DS,2014,Adventure,
Meiji Toukyou Renka: Full Moon,PSV,2016,Action,
Jam Sessions: Sing and Play Guitar (jp sales),DS,2007,Misc,
Tringo,GBA,2006,Puzzle,E
RalliSport Challenge(JP sales),X,2002,Racing,
Plastic Memories,PSV,2016,Adventure,
Ultraman Fighting Evolution 3,PS2,2004,Fighting,
Rondo of Swords (jp sales),DS,2007,Role-Playing,
Element Hunter,DS,2009,Role-Playing,
Greg Hastings Tournament Paintball Maxd,PS2,2006,Shooter,E10+
Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable,PSP,2009,Adventure,
Bara ni Kakusareshi Verite,PSV,2016,Action,
Whac-A-Mole,GBA,2005,Puzzle,E
Nakayoshi All-Stars: Mezase Gakuen Idol,DS,2008,Misc,
Fullmetal Alchemist: Prince of the Dawn,Wii,2009,Adventure,
TrackMania Turbo,PC,2016,Action,E
H2O+: Footprints in the Sand,PS2,2008,Adventure,
Grooverider: Slot Car Thunder,GC,2003,Racing,E
Fashionable Puppy: Oshare na Koinu DS,DS,2007,Simulation,
Werewolves Within,PS4,2016,Misc,E
Ultimate Board Game Collection,PS2,2006,Misc,E
Sekirei: Mirai Kara no Okurimono,PS2,2009,Adventure,
The Humans: Meet the Ancestors!,DS,2009,Puzzle,
Dinotopia: The Sunstone Odyssey,X,2003,Action,T
Jambo! Safari Animal Rescue,DS,2009,Simulation,
Dungeons & Dragons: Neverwinter Nights - Complete,PC,2011,Misc,
Natsuzora no Monologue,PSP,2013,Adventure,
Idol Janshi Suchie-Pai IV,PS2,2007,Misc,
Fate/kaleid liner Prisma Illya,3DS,2014,Action,
Kenka Banchou Portable,PSP,2009,Action,
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,PS4,2016,Misc,
OlliOlli: Epic Combo Edition,PS4,2016,Platform,T
Turbo: Super Stunt Squad,X360,2013,Sports,E
The Train Giant,PC,2012,Strategy,
Inversion,PC,2012,Shooter,M
Monster Jam,PC,2007,Racing,
Ishin Renka: Ryouma Gaiden,PSP,2010,Adventure,
Pippa Funnell 2: Farm Adventures,DS,2007,Simulation,
NHL 2K7,X,2006,Sports,E10+
Act of Aggression,PC,2015,Strategy,
Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,PSP,2013,Adventure,
ClaDun Sengoku,PSV,2017,Action,
Powerdrome,X,2004,Racing,T
Fallout Anthology,PC,2015,Action,
Monster Bomber,DS,2006,Puzzle,E
Hakuouki: Shinsengumi Kitan,PS3,2011,Adventure,
Wand of Fortune,PS2,2009,Adventure,
Young Justice: Legacy,X360,2013,Action,T
Arabians Lost: The Engagement on Desert,PSP,2012,Adventure,
S.Y.K: Shinsetsu Saiyuuki Portable,PSP,2010,Adventure,
Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,T
Cross Edge Dash,X360,2009,Role-Playing,T
Tumblestone,WiiU,2016,Action,E
Super Bubble Pop,X,2002,Puzzle,E
Meru Purana,PS,1996,Strategy,
"Crouching Tiger, Hidden Dragon",X,2003,Action,T
Gobliiins 4,PC,2009,Adventure,
Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,Strategy,
Myst,PSP,2006,Adventure,E
John Dalys ProStroke Golf,X360,2010,Sports,E
Darkened Skye,GC,2002,Adventure,T
Sakura-Sou no Pet na Kanojo,PSV,2013,Adventure,
Command & Conquer Renegade,PC,2002,Shooter,
Juiced 2: Hot Import Nights,PC,2007,Racing,T
Wand of Fortune: Mirai e no Prologue,PS2,2010,Adventure,
Digimon Universe: Appli Monsters,3DS,2016,Action,
Real Crimes: The Unicorn Killer,DS,2011,Puzzle,
Ride,X360,2015,Racing,
Nova Usagi no Game de Ryuugaku!? DS,DS,2007,Misc,
Heart no Kuni no Alice,PSP,2009,Adventure,
San-X: Chara Sagashi Land,DS,2007,Action,
Petz: Hamsterz Life 2,GBA,2007,Misc,
Poker for Dummies,PC,2008,Misc,T
Akogare Girls Collection: Wan Nyan Doubutsu Byouin - Suteki na Juui-San ni Narou!,3DS,2015,Action,
Tenchu San Portable,PSP,2009,Action,
Memories Off,PSP,2008,Adventure,
Vitamin X,PS2,2007,Adventure,
thinkSMART: Chess for Kids,DS,2011,Misc,E
The Wild West,DS,2007,Action,E10+
Rugby World Cup 2015,PC,2015,Sports,E
Saint Seiya Omega: Ultimate Cosmo,PSP,2012,Fighting,
Colin McRae Rally 04,PC,2004,Racing,
Dungeon Explorer: Warriors of Ancient Arts,PSP,2007,Role-Playing,T
"Sakigake!! Otokojuku - Nihon yo, Kore ga Otoko Dearu!",PS3,2014,Fighting,
Monster Hunter Frontier Z: Beginners Package,PS4,2016,Action,
Aladdin Magic Racer,Wii,2011,Racing,E
Teenage Mutant Ninja Turtles (3DS),3DS,2013,Action,
Time Leap,X360,2009,Adventure,
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015,Misc,
The Godfather (JP sales),X360,2006,Action,
World Heroes Anthology,PS2,2007,Fighting,T
Saiki Kusuo no Psi-nan: Shijou Psi-dai no Psi-nan!?,3DS,2016,Action,
th!nk Logic Trainer,Wii,2009,Puzzle,
Uchida Yasuou Mystery: Meitantei Senken Mitsuhiko Series: Fukutoshin Renzoku Satsujin Jiken,DS,2009,Adventure,
"Tennis no Oji-Sama: Doubles no Oji-Sama - Boys, Be Glorious!",DS,2009,Sports,
Routes PE,PS2,2007,Adventure,
Railfan,PS3,2006,Simulation,
SoniPro,3DS,2014,Adventure,
Transformers: Prime,Wii,2012,Action,
Tropico 3: Gold Edition,PC,2010,Strategy,T
Akatsuki no Goei Trinity,PSP,2012,Adventure,
Hotel Giant DS,DS,2008,Simulation,
ESPN NBA 2Night 2002,X,2002,Sports,E
Virtua Quest,GC,2004,Role-Playing,T
Naruto Shippuden: Ultimate Ninja Storm Collection,PS3,2016,Action,
SteamWorld Collection,PS4,2016,Platform,E10+
Icewind Dale II,PC,2002,Role-Playing,T
Golden Time: Vivid Memories,PSV,2014,Adventure,
Hoshigami: Ruining Blue Earth Remix,DS,2007,Role-Playing,T
Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,PSP,2009,Adventure,
Rugby League Live 3,XOne,2015,Action,E
Alone in the Dark,PC,2008,Adventure,M
Tenjin Ranman: Happy GO Lucky!!,PSP,2010,Adventure,
Pro Evolution Soccer 2010,PC,2009,Sports,E
Getsuei Gakuen: kou,PSV,2013,Adventure,
Winning Post 8 2016,PSV,2016,Simulation,
The Cages: Pro Style Batting Practice,Wii,2010,Sports,E
Clive Barkers Jericho,PC,2007,Shooter,M
Grand Prix Legends,PC,1997,Racing,E
Shin Sangoku Musou 4 Special,X360,2005,Action,
MotoGP 14 ,PSV,2014,Racing,E
Bullet Soul: Tama Tamashii,X360,2011,Shooter,
"Horse Life 4: My Horse, My Friend, My Champion",3DS,2015,Action,
Amnesia Later,PSV,2014,Misc,
G1 Jockey 4 2007,PS2,2007,Sports,
Kunio-kun Nekketsu: Complete Famicom Edition,3DS,2016,Misc,
Winning Eleven: Pro Evolution Soccer 2007,PC,2006,Sports,E
"Element Girl: Love, Fashion and Friends",DS,2008,Adventure,
Assassins Creed Chronicles,XOne,2016,Action,T
Heart no Kuni no Alice: Wonderful Twin World,PSP,2014,Adventure,
Irotoridori no Sekai: Worlds End Re-Birth,PSV,2015,Action,
Madagascar: Escape 2 Africa,PC,2008,Action,E10+
Sega Rally Revo,PC,2007,Racing,E
Superstars V8 Racing,X360,2009,Racing,E
Wade Hixtons Counter Punch,GBA,2004,Sports,T
Junjou Romanchika: Koi no Doki Doki Daisakusen,PS2,2008,Adventure,
Farming Simulator 2014,PSV,2014,Simulation,
Phineas and Ferb: Quest for Cool Stuff,WiiU,2013,Action,E
Shin Koihime Musou: Otome Taisen * Sangokushi Engi,PS3,2014,Adventure,
Winx Club: Saving Alfea ,3DS,2014,Action,E
Big Hero 6: Battle in the Bay,DS,2014,Action,
Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,2007,Fighting,
Heart no Kuni no Alice,PS2,2008,Adventure,
Juggler DS,DS,2008,Misc,
Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,2008,Action,
Winning Post 8 2016,PS3,2016,Simulation,
Razor Freestyle Scooter,GBA,2001,Sports,
Outdoors Unleashed: Alaska 3D,3DS,2011,Sports,T
Vitamin Y,DS,2008,Adventure,
Kings Bounty: Armored Princess,PC,2009,Role-Playing,T
Egg Mania: Eggstreme Madness,GC,2002,Puzzle,E
Kiniro no Corda 3,3DS,2015,Adventure,
Magicians Academy,PS2,2007,Role-Playing,
Memories Off #5: Togireta Film,PSP,2009,Adventure,
Kimi o Aogi Otome wa Hime ni,PSV,2016,Adventure,
Luxor: Pharaohs Challenge,DS,2007,Puzzle,E
Exstetra,3DS,2013,Role-Playing,
The Eye of Judgment: Legends,PSP,2010,Strategy,E10+
Lucian Bees: Resurrection Supernova,PS2,2009,Adventure,
Akogare Girls Collection: Pika Pika Nurse Monogatari - Shounika Haitsumo Oosawagi,3DS,2016,Adventure,
Farming 2017 - The Simulation,PS4,2016,Simulation,
The Amazing Spider-Man (DS & Mobile Versions),PSP,2009,Action,
Smart Boys Winter Wonderland,DS,2008,Misc,E
Witch Hunters: Stolen Beauty,PC,2015,Action,
Captain Rainbow,Wii,2008,Adventure,
Rabbids Invasion: The Interactive TV Show,XOne,2014,Misc,
Hitman (2016),XOne,2016,Action,
DoDonPachi Daifukkatsu: Black Label,X360,2011,Shooter,
Space Raiders,GC,2003,Shooter,T
Shirogane x Spirits!,PSV,2016,Adventure,
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,2015,Action,
Hakuoki: Yuugi Roku - Taishitachi no Daienkai,PSV,2016,Adventure,
Ishin no Arashi: Shippuu Ryuumeden,DS,2010,Strategy,
Angels and Despair: 5 Game Pack,PC,2014,Misc,
Bakumatsu Rock: Ultra Soul,PSP,2014,Misc,
Dengeki Gakuen RPG: Cross of Venus Special,DS,2011,Role-Playing,
Muv-Luv Alternative,PS3,2012,Simulation,
Transformers: Fall of Cybertron,PC,2012,Action,T
Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!,PSP,2012,Action,
The Ultimate Battle of the Sexes,Wii,2010,Misc,T
Case Closed: One Truth Prevails,Wii,2007,Adventure,
Bomberman,Wii,2008,Puzzle,
Slotter Mania P: Tetsuya Shinjuku vs Ueno ,PSP,2010,Misc,
Micro Machines V4,PS2,2006,Racing,E
Who Wants to be a Millionaire: 2nd Edition,DS,2008,Misc,
The Dwarves,PC,2016,Role-Playing,M
Daito Giken Koushiki Pachi-Slot Simulator: 24 - Twenty-Four,PS2,2008,Misc,
Unending Bloody Call,PSP,2012,Action,
Legends of Oz: Dorothys Return,3DS,2014,Puzzle,E
Skullgirls: 2nd Encore,PS4,2016,Fighting,T
Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,PSP,2011,Strategy,
Codename: Panzers Complete Collection,PC,2016,Strategy,
Snood 2: On Vacation,GBA,2005,Puzzle,
The Land Before Time: Into the Mysterious Beyond,GBA,2006,Platform,
The Dwarves,PS4,2016,Role-Playing,M
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",PC,2010,Shooter,
Satomi Hakkenden: Hachi Tamanoki,PSP,2014,Adventure,
Naraku no Shiro,PS2,2008,Adventure,
Small Town Terrors - Galdors Bluff,PC,2016,Adventure,
Shinigami to Shoujo,PSP,2011,Adventure,
Mystereet,PS2,2006,Adventure,
Samurai Shodown: Warrios Rage,PS,1999,Fighting,
Romeo Vs. Juliet,PSP,2013,Adventure,
Dragon Ball Z for Kinect,X360,2012,Fighting,T
Trine,PC,2009,Action,E10+
Palais de Reine,PS2,2007,Strategy,
Legacy of Kain: Defiance,PC,2003,Action,M
Balloon Pop 2,3DS,2012,Puzzle,E
Tour de France 2014,PS3,2014,Sports,E
National Geographic Panda (JP sales),DS,2008,Simulation,
Deal or No Deal,PC,2006,Misc,E
ZombiU,XOne,2016,Action,
World Snooker Championship 2007,X360,2007,Sports,
Dragons Dogma Online: Season 2,PS3,2016,Action,
Knights in the Nightmare: DHE Series Special Pack,DS,2008,Role-Playing,
DJ Max Technika Tune,PSV,2012,Misc,
Hospital Tycoon,PC,2007,Strategy,E10+
Rugby Challenge 3,XOne,2016,Sports,E
Dramatical Murder Re:code,PSV,2014,Adventure,
Crossroad Crisis,PS,2000,Puzzle,
S\xc3\xa9bastien Loeb Rally Evo,XOne,2016,Racing,E
Tengai Makyo: Dai Yon no Mokushiroku,PSP,2006,Role-Playing,
Karnaaj Rally,GBA,2003,Racing,E
Akatsuki no Goei Trinity,PS3,2012,Adventure,
Shirogane no Soleil: Contract to the Future - Mirai e no Keiyaku,PS2,2008,Adventure,
WSC REAL 09: World Snooker Championship,PS3,2009,Sports,
SBK Superbike World Championship,PSP,2008,Racing,E10+
The Amazing Spider-Man 2 (2014),PC,2014,Action,
The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,2011,Puzzle,
Kujiragami no Tearstilla,PSV,2016,Action,
Style Book: Cinnamoroll,DS,2006,Misc,
Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,3DS,2014,Action,
Hanasaku Manimani,PSV,2014,Adventure,
Blazer Drive,DS,2008,Role-Playing,
Onigokko! Portable,PSP,2013,Adventure,
Hoshizora no Comic Garden,DS,2008,Adventure,
Hirameki Action: Chibikko Wagyan no Daiki na Bouken,DS,2009,Action,
Metal Gear Solid V: Ground Zeroes,PC,2014,Action,M
Hakuoki: Shinkai Twin Pack,PSV,2016,Adventure,
Time Travelers,PSP,2012,Adventure,
Metal Gear Solid HD Edition,X360,2011,Action,M
Darkness and Sorrow: 5 Game Pack,PC,2014,Misc,
Mushi Bugyou,3DS,2013,Action,
Agatha Christie: Peril at End House,PC,2009,Adventure,T
Nintendogs and Cats Golden Retriever and New Friends,3DS,2011,Action,
The Rise of the Argonauts,PC,2008,Role-Playing,
Ben 10 Omniverse 2,X360,2013,Action,E10+
Summer Athletics,PC,2008,Sports,
Imagine Figure Skater (JP sales),DS,2007,Sports,
PsychicEmotion6,PSV,2016,Adventure,
Hyakki Yagyou Kaidan Romance,PSP,2012,Action,
Driving Simulator 2011,PC,2011,Racing,
Bookworm Deluxe,PC,2006,Puzzle,E
Hakuoki: Reimeiroku - Omouhase Kara,PSV,2015,Action,
E.T. The Extra-Terrestrial,GBA,2001,Action,E
Sweet Honey Coming,PS2,2009,Adventure,
